predicted_crop,count
cardoon,40
head cabbage,23
"pot, flowerpot",22
"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",18
vine snake,13
"hip, rose hip, rosehip",13
hair slide,12
bell pepper,11
coral reef,10
"lakeside, lakeshore",9
"barn spider, Araneus cavaticus",9
"ear, spike, capitulum",8
"web site, website, internet site, site",8
"axolotl, mud puppy, Ambystoma mexicanum",8
whistle,7
broccoli,7
"rock beauty, Holocanthus tricolor",7
"quill, quill pen",7
daisy,7
"nematode, nematode worm, roundworm",6
spaghetti squash,6
"artichoke, globe artichoke",6
"pick, plectrum, plectron",6
cauliflower,6
earthstar,6
maraca,6
eggnog,6
fig,6
pinwheel,6
Granny Smith,6
velvet,5
coral fungus,5
"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",5
"African chameleon, Chamaeleo chamaeleon",5
custard apple,5
"indri, indris, Indri indri, Indri brevicaudatus",4
consomme,4
safety pin,4
honeycomb,3
"hot pot, hotpot",3
Petri dish,3
mortar,3
bow,3
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",3
tennis ball,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3
knot,3
"ant, emmet, pismire",3
golf ball,3
"swab, swob, mop",2
digital clock,2
"sea anemone, anemone",2
"wood rabbit, cottontail, cottontail rabbit",2
"thunder snake, worm snake, Carphophis amoenus",2
"feather boa, boa",2
Windsor tie,2
"worm fence, snake fence, snake-rail fence, Virginia fence",2
isopod,2
"common newt, Triturus vulgaris",2
"stinkhorn, carrion fungus",2
jellyfish,2
croquet ball,2
eft,2
"candle, taper, wax light",2
chain,2
plate,2
acorn,2
"pineapple, ananas",2
plastic bag,2
lemon,2
"sunscreen, sunblock, sun blocker",2
green mamba,1
"book jacket, dust cover, dust jacket, dust wrapper",1
"medicine chest, medicine cabinet",1
"binder, ring-binder",1
"letter opener, paper knife, paperknife",1
analog clock,1
"barracouta, snoek",1
jigsaw puzzle,1
sea lion,1
sorrel,1
"pedestal, plinth, footstall",1
tick,1
groenendael,1
abacus,1
wall clock,1
mitten,1
"rock python, rock snake, Python sebae",1
packet,1
lotion,1
"jackfruit, jak, jack",1
"mantis, mantid",1
"electric ray, crampfish, numbfish, torpedo",1
"sulphur butterfly, sulfur butterfly",1
"flatworm, platyhelminth",1
"kit fox, Vulpes macrotis",1
"zucchini, courgette",1
strawberry,1
toy terrier,1
mink,1
"three-toed sloth, ai, Bradypus tridactylus",1
dung beetle,1
"prairie chicken, prairie grouse, prairie fowl",1
space shuttle,1
Band Aid,1
rapeseed,1
"Angora, Angora rabbit",1
ski mask,1
"theater curtain, theatre curtain",1
"skunk, polecat, wood pussy",1
orange,1
menu,1
"chambered nautilus, pearly nautilus, nautilus",1
volcano,1
"cockroach, roach",1
French loaf,1
nail,1
bittern,1
"jersey, T-shirt, tee shirt",1
typewriter keyboard,1
maypole,1
potpie,1
alp,1
"porcupine, hedgehog",1
"dam, dike, dyke",1
"bolo tie, bolo, bola tie, bola",1
"frilled lizard, Chlamydosaurus kingi",1
"dalmatian, coach dog, carriage dog",1
"switch, electric switch, electrical switch",1
iPod,1
broom,1
mashed potato,1
sea urchin,1
"wool, woolen, woollen",1
scorpion,1
oil filter,1
"maze, labyrinth",1
face powder,1
"walking stick, walkingstick, stick insect",1
"panpipe, pandean pipe, syrinx",1
bolete,1
"patas, hussar monkey, Erythrocebus patas",1
strainer,1
"spotlight, spot",1
paintbrush,1
"thresher, thrasher, threshing machine",1
crane,1
matchstick,1
beaker,1
"lacewing, lacewing fly",1
"lipstick, lip rouge",1
"oboe, hautboy, hautbois",1
